understat_id,tm_id,note
7482,624690,common_name 'Manu Kone' → 'Manu Koné' (score=100.0)
8685,670847,common_name 'Mohamed-Ali Cho' → 'Mohamed-Ali Cho' (score=100.0)
5138,341272,common_name 'Alex Pozo' → 'Álex Pozo' (score=100.0)
5113,323831,common_name 'Rafael Borre' → 'Rafael Borré' (score=100.0)
8933,481084,common_name 'Marcos Andre' → 'Marcos André' (score=100.0)
9805,636688,common_name 'Alejandro Balde' → 'Alejandro Balde' (score=100.0)
10783,422281,common_name 'Muhammed Cham' → 'Muhammed Cham' (score=100.0)
8372,620313,common_name 'Lucas Gourna-Dough' → 'Lucas Gourna-Douath' (score=91.42857142857143)
11866,193082,common_name 'Alejandro Grimaldo' → 'Alejandro Grimaldo' (score=100.0)
7981,538996,common_name 'Tanguy Nianzou' → 'Tanguy Nianzou' (score=100.0)
6487,131101,common_name 'Stiven Mendoza' → 'Stiven Mendoza' (score=100.0)
2029,30687,common_name 'Maxi Moralez' → 'Maxi Moralez' (score=100.0)
11826,431190,common_name 'Carlos Protesoni' → 'Carlos Protesoni' (score=100.0)
8271,627294,common_name 'Fer Nino' → 'Fer Niño' (score=100.0)
6706,564305,common_name 'Michel Adopo' → 'Michel Adopo' (score=100.0)
10830,939964,common_name 'Jean-Matteo Bahoya' → 'Jean-Mattéo Bahoya' (score=100.0)
2408,7631,common_name 'Carlos Gurpegi' → 'Carlos Gurpegui' (score=96.55172413793103)
7024,263801,common_name 'Kasim Adams' → 'Kasim Adams' (score=100.0)
11831,991268,common_name 'Samu Aghehowa' → 'Samu Aghehowa' (score=100.0)
4112,15790,common_name 'Ferran Corominas' → 'Ferrán Corominas' (score=100.0)
10561,941869,common_name 'Yellu Santiago' → 'Yellu Santiago' (score=100.0)
4904,323872,common_name 'Andres Cubas' → 'Andrés Cubas' (score=100.0)
5637,75645,common_name 'Maurice Dale' → 'Maurice Dalé' (score=100.0)
5124,354697,common_name 'Tachi' → 'Tachi' (score=100.0)
13201,520093,common_name 'Raul' → 'Raul' (score=100.0)
9447,673514,common_name 'Abdoulaye Ndiaye' → 'Abdoulaye Ndiaye' (score=100.0)
12168,741257,common_name 'Alex Jimenez' → 'Álex Jiménez' (score=100.0)
